"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16562","TC001 ,Valid login with correct credentials","chromium","2026-03-26","passed","2026-03-26","","Login.spec.js","",""
"","13502","01","chromium","2026-03-26","passed","2026-03-26","","Homepage.spec.js","",""
"","6306","TC004 , Login with both fields blank","chromium","2026-03-26","passed","2026-03-26","","Login.spec.js","",""
"","17995","TC003 , Login with blank password","chromium","2026-03-26","passed","2026-03-26","","Login.spec.js","",""
"","18101","TC002 , Login with blank username","chromium","2026-03-26","passed","2026-03-26","","Login.spec.js","",""
